job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Accountants and Auditors,Business and Financial Occupations,1579800,81680,Bachelor's degree
Budget Analysts,Business and Financial Occupations,50400,87930,Bachelor's degree
"Claims Adjusters, Appraisers, Examiners, and Investigators",Business and Financial Occupations,365300,76790,NA
"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Occupations,107000,77020,Bachelor's degree
Compliance Officers,Business and Financial Occupations,418000,78420,Bachelor's degree
Cost Estimators,Business and Financial Occupations,221400,77070,Bachelor's degree
Credit Counselors,Business and Financial Occupations,31800,50480,Bachelor's degree
Financial Analysts,Business and Financial Occupations,429000,101910,Bachelor's degree
Financial Examiners,Business and Financial Occupations,65100,90400,Bachelor's degree
Fundraisers,Business and Financial Occupations,134400,66490,Bachelor's degree
Human Resources Specialists,Business and Financial Occupations,944300,72910,Bachelor's degree
Insurance Underwriters,Business and Financial Occupations,127000,79880,Bachelor's degree
Labor Relations Specialists,Business and Financial Occupations,65400,93500,Bachelor's degree
Loan Officers,Business and Financial Occupations,301400,74180,Bachelor's degree
Logisticians,Business and Financial Occupations,241000,80880,Bachelor's degree
Management Analysts,Business and Financial Occupations,1075100,101190,Bachelor's degree
Market Research Analysts,Business and Financial Occupations,941700,76950,Bachelor's degree
"Meeting, Convention, and Event Planners",Business and Financial Occupations,155800,59440,Bachelor's degree
Personal Financial Advisors,Business and Financial Occupations,326000,102140,Bachelor's degree
Project Management Specialists,Business and Financial Occupations,1046300,100750,Bachelor's degree
Property Appraisers and Assessors,Business and Financial Occupations,77300,65420,Bachelor's degree
"Purchasing Managers, Buyers, and Purchasing Agents",Business and Financial Occupations,605600,79830,Bachelor's degree
"Tax Examiners and Collectors, and Revenue Agents",Business and Financial Occupations,57600,59740,Bachelor's degree
Training and Development Specialists,Business and Financial Occupations,452300,65850,Bachelor's degree
